	extract	dna_type	dna_location	bioreactor	Location	trt	bottle	hours_elapsed	color
N-Control-T0_S121_F_filt.fastq	experiment	water	bottle			0m	AB	0	deepskyblue1
N-Amend-T0_S124_F_filt.fastq	experiment	water	bottle			DiatomLysate	CD	0	deepskyblue1
N-Control-A-T4_S122_F_filt.fastq	experiment	water	bottle			0m	A	96	deepskyblue1
N-Control-B-T4_S123_F_filt.fastq	experiment	water	bottle			0m	B	96	deepskyblue1
N-Amend-C-T4_S125_F_filt.fastq	experiment	water	bottle			DiatomLysate	C	96	deepskyblue1
N-Amend-D-T4_S126_F_filt.fastq	experiment	water	bottle			DiatomLysate	D	96	deepskyblue1
N-BR5-B_S99_F_filt.fastq	experiment	beads	0cm	5	Bottom			0	darkgoldenrod3
N-BR6-B_S101_F_filt.fastq	experiment	beads	0cm	6	Bottom			0	darkgoldenrod3
N-BR8-B_S103_F_filt.fastq	experiment	beads	0cm	8	Bottom			0	darkgoldenrod3
N-BR9-B_S105_F_filt.fastq	experiment	beads	0cm	9	Bottom			0	darkgoldenrod3
N-BR10-B_S107_F_filt.fastq	experiment	beads	0cm	10	Bottom			0	darkgoldenrod3
N-BR5-T_S100_F_filt.fastq	experiment	beads	70cm	5	Top			0	burlywood2
N-BR6-T_S102_F_filt.fastq	experiment	beads	70cm	6	Top			0	burlywood2
N-BR8-T_S104_F_filt.fastq	experiment	beads	70cm	8	Top			0	burlywood2
N-BR9-T_S106_F_filt.fastq	experiment	beads	70cm	9	Top			0	burlywood2
N-BR10-T_S108_F_filt.fastq	experiment	beads	70cm	10	Top			0	burlywood2
N-Amend-BR5-10-FT_S119_F_filt.fastq	experiment	water	outflow	5_6_8_9_10		DiatomLysate		4	darkseagreen2
